x,y
"Developer Security Operation (DevSecOps) Pegawai (non-manajemen & non-supervisor) Sarjana (S1) Penuh Waktu Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Subsidi Laptop 1.      Protect All Aspects of Your Source Code2.      Comprehensive Protection in Production3.      Automation4.      Docker5.      Kubernetes6.      OCP7.      Ci/CD8.      Linux OS9.      Deploy Apps10.   Having experience about RDBMS ","{
  ""required_skills"": [
    ""DevSecOps"",
    ""Source Code Protection"",
    ""Production Security"",
    ""Automation"",
    ""Docker"",
    ""Kubernetes"",
    ""OCP"",
    ""CI/CD"",
    ""Linux OS"",
    ""RDBMS""
  ]
}"
"Bancassurance Officer (Area: Bali, Sulawesi Utara, Sulawesi Selatan, Sulawesi Tengah, Sulawesi Tenggara) Pegawai (non-manajemen & non-supervisor) Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1) Penuh Waktu Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi) Bancassurance Officer adalah Representative dari Panin Dai-chi Life di cabang Bank Panin yang berperan untuk membantu melakukan pemasaran produk Bancassurance.Deskripsi pekerjaan:Melakukan aktivitas penjualan didalam industri BancassuranceMembina dan membangun hubungan professional dengan staff bank dan nasabah bankMelakukan kegiatan after selling (Follow up ke nasabah, reporting, submit case, kelengkapan data nasabah, medical, Etc)Persyaratan:Usia maksimal 35 tahunMemiliki minimum 1 tahun pengalaman sebagai salesLulusan D3/S1 dari semua jurusanKomunikatifBerpenampilan rapiBenefit:Tunjangan TetapTunjangan LainKomisiBonus BulananTunjangan TahunanTunjangan KesehatanTrip gratisPelatihan dan Training ","{
  ""required_skills"": [
    ""penjualan"",
    ""kommunikasi"",
    ""kerapian"",
    ""pengalaman sebagai sales"",
    ""lulusan D3/S1"",
    ""pengalaman minimum 1 tahun""
  ]
}"
"Marketing Staff Pegawai (non-manajemen & non-supervisor) SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1) Penuh Waktu nan Bertanggung jawab atas penjualan sesuai dengan target yang telah ditentukanMembuat laporan penjualan yang terhubung dalam sistem perusahaanMelakukan pembuatan dan penyimpanan dokumen yang berhubungan dengan penjualanMemfollow up dan menjaga hubungan dengan customerMelakukan analisa yang dapat membantu meningkatkan penjualanMempersiapkan laporan penjualan mingguan dan Bulanan ","{
  ""required_skills"": [
    ""Marketing"",
    ""Sales"",
    ""Report Writing"",
    ""Data Analysis"",
    ""Customer Service"",
    ""Time Management"",
    ""Communication"",
    ""Teamwork"",
    ""Microsoft Office (Word, Excel, PowerPoint)"",
    ""Salesforce atau sistem CRM lainnya"",
    ""Keterampilan analitis"",
    ""Keterampilan komunikasi yang baik""
  ]
}"
"Section Head Commercials Manajer/Asisten Manajer SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1) Penuh Waktu Uniform Tanggung Jawab :Bertanggung jawab atas keseluruhan operasional di Department nya (Food; Non Food; Perishable; Fruit & Vegetables; Meat; Fish; Sushi)Memastikan aspek kualitas produk di Department nya untuk selalu dalam kondisi terbaik sesuai standar PerusahaanMemastikan aspek pricing (harga) agar tetap kompetitif dibandingkan dengan kompetitorMemastikan aspek human (tenaga kerja) agar memiliki pengetahuan dan skill yang tepat guna dan mampu bekerja dengan harmonisRequirements :Pengalaman minimal 3 tahun sebagai Sales Manager / Section Head di Department : Food / Non Food / Perishable / Fruit & Vegetables / Meat / Fish / SushiMampu berkomunikasi dengan baik kepada seluruh level karyawanSiap ditempatkan di seluruh wilayah operasional Perusahaan ","{
  ""required_skills"": [
    ""Sales Management"",
    ""Department Management"",
    ""Quality Control"",
    ""Pricing Strategy"",
    ""Human Resource Management"",
    ""Communication"",
    ""Leadership"",
    ""Problem Solving"",
    ""Time Management"",
    ""Team Management"",
    ""Market Analysis"",
    ""Competitor Analysis""
  ]
}"
"Social Media HEAD Supervisor/Koordinator SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1) Penuh Waktu nan # Memiliki pengalaman di atas# Harus memiliki skills dan pengalaman di job title di atas# Penempatan di kota Medan# Interview di lakukan secara Online dan Offline# Harus melewati tahapan seleksi sesuai sop perusahaan# Harus bisa menggunakan dan mahir di photoshop/ilustrator# Memiliki pengalaman sebagai Team work# Memiliki skill di Videographer/premiere pro ","{
  ""required_skills"": [
    ""Social Media"",
    ""Team work"",
    ""Videographer"",
    ""Photoshop"",
    ""Illustrator"",
    ""Premiere Pro"",
    ""Online interview"",
    ""Offline interview"",
    ""Selection process"",
    ""Professional certification"",
    ""Diploma D3"",
    ""Diploma D4"",
    ""Bachelor degree S1""
  ]
}"
"Sales Manager Manajer/Asisten Manajer SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1) Penuh Waktu Waktu regular, Senin - Jumat;Kasual (contoh: Kaos) a. Responsible for achieving all customer accounts by creating annual business planb. Observing, supervising and monitoring all subordinates daily activities in order to work effective and efficientc. Monitoring and analyzing Key Performance Index and Marketing Team objective dailyd.Conducting product presentation to potential customere. Negotiating special condition to potential customerf. Analyzing a new market opportunitiesg. Visiting to customer periodicallyh. Meeting & evaluating with Marketing Team and Head of Group Business to report a progressand resulti. Meeting & evaluating periodical activitiesj. Ensuring training career program for subordinatek. Making additional training program for subordinatel. Mentoring and coaching all the subordinates directly.M. Working together with other Head Divisions to share problem & solution. ","{
""required_skills"": [
""Business planning"",
""Leadership"",
""Time management"",
""Communication"",
""Negotiation"",
""Market analysis"",
""Team management"",
""Training and development"",
""Counseling and coaching"",
""Problem solving"",
""Collaboration"",
""Product presentation"",
""Marketing strategy"",
""Key Performance Index (KPI) analysis"",
""Customer relationship management"",
""Sales strategy""
]
}"
"PURCHASING IMPORT Pegawai (non-manajemen & non-supervisor) Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2) Penuh Waktu nan Urgently Need : PURCHASINGWe Want you to be a person Who :Bachelor Degree in Mechanical Engineering, Business Management or equivalent from reputable universityPreferred have 2-3 years experience in the same fieldUnderstand about export - import document, processes, policy, and systems.Understanding regulations about Steel Import Licenses Regulations KEMENKEU / KEMENDAG / KEMENPERINFluent in english is a must, able to speak mandarin is an advantage.Strong analytical skills, attention to detail, interpersonal and negotiation skillsAgile, strong work ethic and willing to do what it takes to get the job done rightAble to work independently or teams, initiatives and to work with all types of individualsWhat you Will be dong day to day :Review and negotiate supplier terms, pricing and deliverablesMaking PO, signing conract, opening LCFamiliar with payment terms (Especially LC) and all document export-import clearencePrepare and checking all document for clearance goods in Indonesia port/airportCommunicate shipment requirements and deadlines to all parties involvedTracking suppliers delivery schedules.Evaluate supplier performance based on company's standard.We can Offer :Excellent remuneration package based on experienceGreat career prospects as the growth opportunity in the company is tremendousOpportunity to work with a wonderful culture and reputation ","{
  ""required_skills"": [
    ""Mechanical Engineering"",
    ""Business Management"",
    ""Analytical skills"",
    ""Attention to detail"",
    ""Interpersonal skills"",
    ""Negotiation skills"",
    ""Agile"",
    ""Strong work ethic"",
    ""English fluency"",
    ""Mandarin language"",
    ""Steel Import Licenses Regulations"",
    ""Export-import document processes"",
    ""Payment terms"",
    ""LC (Letter of Credit)"",
    ""Document clearance"",
    ""Supplier management"",
    ""Performance evaluation""
  ]
}"
"Backend Developer Pegawai (non-manajemen & non-supervisor) Tidak terspesifikasi Penuh Waktu Tunjangan Pendidikan;Tip;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Penglihatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos) Hello tech Indonesia,We hiring a new backend developer to our team. If the questions below resonates with you, maybe you are the one we're looking for.Passionate about tech?Interested to learn new things?Like to challenge yourself daily?Want to develop international high standard apps?Want to work with International brands?Can take responsibility?Want to work remotely?Want a high salary?We are working with international clients building web and mobile apps. Right now we are a small team of 3 people and for us it’s important to make quality products and grow organically. We believe in being passionate about your work. With that comes quality and enjoyment.To get this job you need high skills in:Problem solvingFast learnerSimplify complexitiesEnglishSoftware engineeringWeb developmentMobile developmentServerless cloud services; Azure, GCP, AWSPythonC#GitConfluence / JiraScrumWe are looking forward to talk to you!Kind regardsRikard ÄngermarkDua Digital Solutions ","{
  ""required_skills"": [
    ""problem solving"",
    ""fast learner"",
    ""simplify complexities"",
    ""english"",
    ""software engineering"",
    ""web development"",
    ""mobile development"",
    ""serverless cloud services"",
    ""azure"",
    ""gcp"",
    ""aws"",
    ""python"",
    ""c#"",
    ""git"",
    ""confluence / jira"",
    ""scrum""
  ]
}"
"DOCUMENT CONTROL - MANDARIN SPEAKING Supervisor/Koordinator Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1) Penuh Waktu Waktu regular, Senin - Jumat;THR, BPJS, Bonus, Tax Allowance, Benefit in Kind, Meals, Accommodation Job Description：Controlling company and project documentationFollowing document control proceduresEnsuring all documentation meets formal requirementsDesigning templates for documents, file types, and document databasesKeep other personnel updated on new document versions and how to obtain accessSorting, storing and retrieving electronic and hard copy documentsCollect and register all technical documents such as drawings and blueprints in the company’s systemHandle records across various departmentsProducing document progress reports for senior managersConducting regular reviews and document auditsEstablish and maintain record retention timelinesOrganize and distribute documents within a companyHelping in the planning stages of a specific projectEnsure documents are shared at key times to facilitate timely project completionMaintain confidentiality regarding sensitive documentsJob RequirementsBachelor in Computer Science, Business Administration, Secretary or other relevant discipline, or equivalent work experienceProficient in Mandarin min HSK 4 or equivalentProficient in English preferredExperience working with many types of filesAbility to analyze data and organize documentsMicrosoft office suite skillsEffective communication across departmentsGreat time management skillsDetail orientedAbility to multitaskFresh graduates are welcome ","{
  ""required_skills"": [
    ""Document control"",
    ""Mandarin speaking"",
    ""Microsoft office suite"",
    ""Time management"",
    ""Communication"",
    ""Data analysis"",
    ""Organizational skills"",
    ""Multitasking"",
    ""Attention to detail"",
    ""Project planning"",
    ""Record keeping"",
    ""Confidentiality"",
    ""File management"",
    ""English proficiency"",
    ""Analytical skills""
  ]
}"
"Java Spring Boot / MVC Pegawai (non-manajemen & non-supervisor) Tidak terspesifikasi Penuh Waktu Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja) Experience 1 Year In Java (Spring Boot / Spring MVC preferred)Experience with JPAExperience with frontend language like css and html will be advantagesExperience in Spring MVC will be advantagesHaving Knowledge relate Source code version Control (GIT)Understanding with WebServices (REST)Understanding Spring FrameworkDatabase MySQLEduS1 (Preferred)ExperienceJava Spring Boot / Spring MVC : 1 year (Preferred)Work RemotelyNo ","{
  ""required_skills"": [
    ""Java"",
    ""Spring Boot"",
    ""Spring MVC"",
    ""JPA"",
    ""CSS"",
    ""HTML"",
    ""GIT"",
    ""REST"",
    ""Spring Framework"",
    ""MySQL"",
    ""EduS1"",
    ""Java programming""
  ]
}"
